コード,銘柄
1723,日本電技
1724,シンクレイヤ
1726,ＢＲＨＤ
172A,ネオホーム
1736,オーテック
173A,ハンモック
1758,太洋基礎
175A,ウィルスマート
1762,高松Ｇ
1764,工藤建設
1766,東建コーポ
1768,ソネック
1770,藤田エンジ
1773,Ｙ Ｔ Ｌ
1776,三住道路
177A,コージンバイ
1780,ヤマウラ
1783,ｆａｎｔａｓｉｓ
1786,オリエ白石
1787,ナカボーテック
1788,三東工業
178A,ＧＸ革新優
1793,大本組
1795,マサル
1798,守谷商会
1799,第一建設
179A,ＧＸ超米Ｈ
1801,大成建
1802,大林組
1803,清水建
1807,佐藤渡辺
1808,長谷工
180A,ＧＸ超長米
1810,松井建
1811,銭高組
1812,鹿 島
1813,不動テトラ
1814,大末建
1815,鉄建建設
181A,ＭＸ米債１３
1820,西松建
1822,大豊建
1826,佐田建
1827,ナカノフドー
1828,田辺工
182A,ＭＸ米債２０
1833,奥村組
1835,東鉄工
183A,ＭＸ米２０ヘ
1840,土屋ＨＤ
1844,大盛工業
1847,イチケン
1848,富士Ｐ・Ｓ
184A,学びエイド
1850,南海辰村
1852,浅沼組
1853,森 組
185A,リサイクルテック
1860,戸田建
1861,熊谷組
1866,北野建
1867,植木組
186A,アストロスケール
1870,矢作建
1871,ピーエス
1873,日ハウスＨＤ
1878,大東建
1879,新日建
1882,東亜道
1885,東亜建
1887,日本国土
1888,若築建
188A,ＧＸ印度１０
1893,五洋建
1897,金下建
1898,世紀東
1899,福田組
189A,Ｄ＆Ｍカンパニ
1904,大成温
1905,テノックス
1909,日本ドライ
190A,Ｃｈｏｒｄｉａ
1911,住友林
1914,日基礎
191A,ミモザ
1921,巴コーポ
1925,大和ハウス
1926,ライト工
1928,積水ハウス
1929,日特建
192A,インテＧ
1930,北電事
1934,ユアテック
1938,日リーテック
1939,四電工
1941,中電工
1942,関電工
1944,きんでん
1945,東京エネシス
1946,トーエネク
1948,弘電社
194A,ＷＯＬＶＥＳ
1950,日本電設
1951,エクシオＧ
1952,日空調
1959,クラフティア
195A,ＭＵＳＣＡＴ Ｇ
1960,サンテック
1961,三機工
1963,日揮ＨＤ
1964,中外炉
1965,テクノ菱和
1966,高田工
1967,ヤマト
1968,太平電
1969,高砂熱
196A,ＭＦＳ
1972,三晃金
1975,朝日工
1976,明星工
1979,大気社
197A,タウンズ
1980,ダイダン
1981,協和日成
1982,日比谷
198A,ポストプライ
1992,神通機
1994,高橋ウォル
1997,暁飯島
199A,メディエア
2001,ニップン
2002,日清粉Ｇ
2003,日東富士
2004,昭和産
2009,鳥越粉
200A,ＮＦ日経半
2011,ＳＭ日高配
2012,ｉＳ米債０３
2013,米高配当
2014,ｉＳ米連増
2015,ｉＦ米７１０
2016,ｉＦ米７１０Ｈ
2017,ｉＦＪＰＸ１５０
2018,ＧＸＵＳリト２０
2019,ＧＸ優証隔
201A,ｉＳＮＩＦＴ５０
2031,ハンセンブル
2032,ハンセンベア
2033,ＫＯＳＰＩブル
2034,ＫＯＳＰＩベア
2036,金先ブル
2037,金先ベア
2038,ドバイブル
2039,ドバイベア
203A,シュンビン
2040,ＮＹダウブル
2041,ＮＹダウベア
2042,Ｇ２５０ＥＴＮ
2043,アセアン５０
2044,米配貴族
2045,シンガポルＲ
2046,インドブル
2047,インドベア
2048,高配ヘッジ
204A,タイヨーパッケ
2050,ニッチ中小
2053,中部飼
2055,日和産
205A,ロゴスＨＤ
2060,フィード・ワン
2065,日配貴族
2066,東リートＥＴＮ
2067,野村ＡＩ７０
2068,高ベータ３０
2069,低ベータ５０
206A,ＰＲＩＳＭＢｉｏ
2070,ＥＳＧ女性
2071,ＥＳＧ総合
2072,トップシェア
2073,ＥＳＧ低カボ
207A,ライジング
2080,ＰＢＲ１倍割
2081,政策保有
2082,投資家経
2083,日本成長
2084,日本高配
2085,ＭＸ高配日
2086,ＮＺＡＭＳＰ５Ｈ
2087,ＮＺＡＭＮＱ１Ｈ
2088,ＮＺＡＭＤｏｗＨ
2089,ＮＺＡＭＤＡＸＨ
208A,構造計画
2090,ＮＺＡＭ米７Ｈ
2091,ＮＺＡＭ独７Ｈ
2092,ＮＺＡＭ仏７Ｈ
2093,米債０２Ｌａ
2094,ＲＥＩＴインバ
2095,ＧＸＵＳ配ヘ
2096,ＧＸオフィスＪリ
2097,ＧＸ住宅Ｊリ
2098,ＧＸホテリテＪリ
209A,小野谷機
2108,甜菜糖
2109,ＤＭ三井糖
210A,ｉＦ日経リ
2112,塩水糖
2114,フジ日本
2117,ウェルネオ
211A,カドス
2120,ＬＩＦＵＬＬ
2121,ＭＩＸＩ
2122,Ｉスペース
2124,ＪＡＣＲ
2127,日本Ｍ＆Ａ
212A,フィットイージ
2130,メンバーズ
2134,キタハマキャピ
2136,ヒップ
2138,クルーズ
2139,中 広
213A,上日経半
2146,ＵＴ ＧＲＯＵＰ
2148,ＩＴＭ
